,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico
330,8,4,4,8,0
331,0,0,0,3,0
332,6,1,5,6,1
333,7,2,4,10,0
334,1,0,0,5,0
335,10,6,2,10,0
336,8,6,2,9,0
337,0,0,0,2,0
338,8,4,3,8,0
339,6,2,4,9,0
340,8,6,2,9,0
341,0,0,0,5,0
342,2,0,2,3,1
343,0,0,0,3,0
344,10,8,2,10,0
345,8,6,1,8,0
346,8,6,2,8,0
347,3,3,0,3,0
348,4,1,2,8,0
349,1,0,1,3,0
350,3,0,2,5,0
351,4,2,2,6,0
352,3,0,2,4,0
353,6,5,1,8,0
354,0,0,0,3,0
355,5,0,5,5,1
356,3,0,3,3,1
357,0,0,0,2,0
358,0,0,0,2,0
359,8,7,0,9,0
360,3,1,1,8,0
361,3,0,3,3,1
362,7,6,1,7,0
363,6,2,4,7,1
364,5,1,4,10,0
365,8,8,0,8,0
366,1,0,1,3,0
367,0,0,0,4,0
368,9,8,0,12,0
369,6,4,0,11,0
370,1,1,0,3,0
371,9,4,4,11,0
372,8,8,0,8,0
373,3,1,2,4,0
374,6,3,3,7,0
375,3,0,2,5,0
376,0,0,0,4,0
377,3,0,3,4,1
378,5,3,2,6,0
379,8,5,3,10,0
380,3,1,2,4,0
381,5,2,3,8,0
382,5,0,5,5,1
383,1,1,0,2,0
384,8,8,0,8,0
385,4,4,0,4,0
386,4,1,3,5,1
387,4,4,0,5,0
388,4,4,0,5,0
389,5,5,0,5,0
390,5,3,2,5,0
391,0,0,0,3,0
392,1,1,0,3,0
393,4,0,4,4,1
394,5,1,2,6,0
395,8,6,1,8,0
396,4,0,2,5,0
397,7,7,0,7,0
398,6,1,3,6,0
399,6,1,3,6,0
400,3,0,3,5,1
401,5,2,2,5,0
402,4,3,0,4,0
403,8,7,1,9,0
404,9,6,2,11,0
405,6,4,2,7,0
406,2,1,1,5,0
407,4,0,3,7,0
408,0,0,0,3,0
409,9,8,0,9,0
410,2,0,1,7,0
411,0,0,0,2,0
412,4,0,4,4,1
413,5,5,0,6,0
414,2,0,2,4,0
415,6,2,2,6,0
416,2,0,2,5,0
417,6,1,3,6,0
418,5,0,3,5,1
419,1,0,1,4,0
420,5,0,5,5,1
421,5,3,2,7,0
422,6,1,3,6,0
423,9,9,0,9,0
424,4,3,1,5,0
425,1,0,1,7,0
426,1,0,1,4,0
427,4,4,0,7,0
428,0,0,0,4,0
429,1,0,0,5,0
430,4,4,0,5,0
431,2,0,2,3,1
432,5,2,3,8,0
433,6,4,2,6,0
434,0,0,0,3,0
435,2,2,0,2,0
436,1,1,0,5,0
437,3,2,1,6,0
438,0,0,0,3,0
439,7,6,0,8,0
440,8,8,0,9,0
441,2,0,2,3,1
442,8,5,3,8,0
443,0,0,0,3,0
444,6,4,2,6,0
445,2,0,2,4,0
446,2,1,1,4,0
447,8,8,0,8,0
448,8,3,4,8,0
449,5,0,3,5,1
450,0,0,0,3,0
451,3,0,3,3,1
452,4,0,4,9,0
453,6,2,4,6,1
454,5,3,1,8,0
455,3,2,1,6,0
456,0,0,0,3,0
457,1,0,1,3,0
458,5,3,2,6,0
459,3,0,3,3,1
460,6,6,0,8,0
461,5,3,2,9,0
462,0,0,0,2,0
463,6,6,0,9,0
464,8,8,0,9,0
465,3,0,3,3,1
466,2,0,2,4,0
467,2,2,0,2,0
468,4,0,4,4,1
469,5,3,2,8,0
470,7,7,0,9,0
471,0,0,0,3,0
472,0,0,0,4,0
473,4,4,0,8,0
474,0,0,0,3,0
475,3,1,1,7,0
476,4,2,2,7,0
477,0,0,0,5,0
478,1,0,1,3,0
479,0,0,0,2,0
480,4,1,3,6,0
481,3,1,2,4,0
482,6,6,0,6,0
483,1,0,1,3,0
484,4,0,3,6,0
485,4,0,3,5,1
486,9,5,4,10,0
487,2,0,1,5,0
488,4,4,0,4,0
489,4,2,2,5,0
490,11,8,3,11,0
491,6,6,0,8,0
492,2,1,1,5,0
493,5,5,0,5,0
494,3,1,2,5,0
495,6,1,5,8,1
496,4,2,2,4,0
497,1,1,0,4,0
498,9,8,1,9,0
499,8,8,0,9,0
500,5,1,2,6,0
501,9,7,1,9,0
502,1,0,1,4,0
503,4,4,0,4,0
504,7,6,1,7,0
505,5,1,4,8,0
506,8,8,0,8,0
507,1,0,1,3,0
508,8,8,0,8,0
509,8,4,3,10,0
510,8,8,0,8,0
511,10,8,1,11,0
512,6,3,3,9,0
513,9,9,0,10,0
514,8,8,0,9,0
515,1,1,0,5,0
516,1,1,0,5,0
517,5,0,4,7,1
518,8,8,0,8,0
519,4,2,2,7,0
520,8,8,0,9,0
521,8,8,0,8,0
522,8,8,0,8,0
523,3,3,0,7,0
524,9,7,1,9,0
525,8,7,1,9,0
526,9,7,2,9,0
527,3,3,0,7,0
528,7,6,1,9,0
529,6,5,1,8,0
530,0,0,0,3,0
531,8,6,1,8,0
532,1,1,0,4,0
533,3,3,0,7,0
534,7,6,1,8,0
535,0,0,0,4,0
536,4,2,1,4,0
537,7,3,4,8,0
538,8,8,0,8,0
539,0,0,0,1,0
540,4,2,2,4,0
541,8,6,2,8,0
542,9,8,1,9,0
543,9,7,2,9,0
544,8,8,0,8,0
545,4,2,2,4,0
546,1,0,1,2,0
547,2,0,2,3,1
548,4,4,0,5,0
549,3,2,1,4,0
550,7,4,3,7,0
551,8,6,2,9,0
552,0,0,0,3,0
553,7,7,0,9,0
554,5,3,2,5,0
555,9,6,3,10,0
556,9,6,3,10,0
557,4,2,1,4,0
558,3,1,2,3,1
559,1,1,0,3,0
560,1,1,0,2,0
561,6,4,2,7,0
562,4,2,2,6,0
563,8,4,3,8,0
564,7,4,3,9,0
565,3,1,2,7,0
566,3,3,0,5,0
567,5,4,1,6,0
568,11,8,3,11,0
569,11,9,2,11,0
570,3,0,3,8,0
571,11,9,2,11,0
572,3,1,2,4,0
573,8,2,4,8,0
574,9,8,1,9,0
575,8,8,0,8,0
576,9,6,3,9,0
577,9,6,3,9,0
578,5,0,4,7,1
579,5,2,3,7,0
580,8,6,2,8,0
581,6,6,0,7,0
582,7,2,5,7,1
583,1,0,1,4,0
584,8,8,0,8,0
585,7,7,0,9,0
586,2,0,2,3,1
587,8,8,0,8,0
588,8,5,3,8,0
589,11,10,1,11,0
590,0,0,0,4,0
591,9,8,1,9,0
592,9,8,1,9,0
593,3,2,0,9,0
594,9,7,2,9,0
595,8,8,0,8,0
596,8,6,2,8,0
597,8,4,4,11,0
598,4,1,3,7,0
599,5,2,3,5,1
600,10,10,0,10,0
601,2,1,1,4,0
602,3,1,2,6,0
603,2,0,2,4,0
604,3,3,0,3,0
605,6,0,5,8,1
606,6,6,0,7,0
607,8,7,1,8,0
608,3,3,0,7,0
609,1,0,1,3,0
610,7,5,2,7,0
611,6,3,2,9,0
612,8,8,0,8,0
613,11,11,0,12,0
614,10,6,4,10,0
615,0,0,0,3,0
616,1,1,0,5,0
617,10,8,2,10,0
618,5,2,3,8,0
619,4,0,4,4,1
620,8,8,0,8,0
621,8,8,0,9,0
622,4,2,2,6,0
623,6,3,3,7,0
624,6,2,4,8,0
625,9,7,2,10,0
626,2,1,1,5,0
627,8,3,5,10,0
628,8,3,4,10,0
629,7,4,3,7,0
630,3,0,3,5,1
631,4,1,3,4,1
632,0,0,0,4,0
633,0,0,0,3,0
634,0,0,0,3,0
635,8,7,1,8,0
636,4,1,3,4,1
637,8,8,0,8,0
638,8,7,0,8,0
639,9,4,3,9,0
640,7,7,0,7,0
641,6,3,3,7,0
642,0,0,0,4,0
643,9,9,0,9,0
644,9,4,5,9,1
645,3,3,0,5,0
646,0,0,0,4,0
647,3,3,0,6,0
648,3,2,1,6,0
649,0,0,0,4,0
650,2,1,1,13,0
651,1,1,0,5,0
652,8,8,0,8,0
653,8,5,2,9,0
654,4,1,3,6,0
655,9,5,4,9,0
656,2,2,0,2,0
657,8,7,1,8,0
658,7,4,3,7,0
659,3,0,3,4,1
660,8,8,0,9,0
661,8,8,0,8,0
662,4,1,3,8,0
663,3,1,2,4,0
664,10,5,5,10,0
665,2,2,0,6,0
666,4,0,2,4,0
667,6,2,4,8,0
668,0,0,0,4,0
669,2,2,0,2,0
670,7,6,1,8,0
671,0,0,0,4,0
672,3,1,1,7,0
673,3,0,1,5,0
674,7,3,4,8,0
675,2,0,2,8,0
676,8,7,0,8,0
677,4,0,3,5,1
678,6,3,3,7,0
679,10,10,0,10,0
680,5,5,0,5,0
681,3,0,3,5,1
682,5,2,2,6,0
683,8,5,3,8,0
684,6,4,2,7,0
685,2,2,0,3,0
686,6,4,2,7,0
687,2,1,1,5,0
688,4,3,1,9,0
689,7,4,3,9,0
690,1,0,0,5,0
691,8,5,3,9,0
692,8,7,1,9,0
693,0,0,0,3,0
694,6,2,4,7,1
695,4,0,4,4,1
696,6,0,5,10,0
697,5,4,1,6,0
698,7,2,3,9,0
699,3,0,3,4,1
700,7,6,1,7,0
701,3,2,1,4,0
702,4,0,4,7,1
703,8,6,2,9,0
704,11,10,1,11,0
705,7,3,4,8,0
706,10,7,3,10,0
707,4,2,2,4,0
708,8,6,1,9,0
709,8,6,2,9,0
710,8,5,2,9,0
711,10,10,0,10,0
712,9,9,0,9,0
713,8,7,1,8,0
714,2,0,2,5,0
715,5,1,4,8,0
716,4,1,3,5,1
717,5,2,2,9,0
718,4,3,1,5,0
719,2,0,1,6,0
720,8,7,1,8,0
721,5,0,4,5,1
722,9,8,0,9,0
723,8,8,0,8,0
724,3,2,1,6,0
725,4,0,3,4,1
726,6,4,2,9,0
727,3,0,2,4,0
728,10,4,4,10,0
729,2,1,1,6,0
730,11,11,0,11,0
731,11,11,0,11,0
732,11,10,1,12,0
733,9,9,0,11,0
734,9,9,0,9,0
735,7,1,6,7,1
736,2,1,0,6,0
737,7,7,0,9,0
738,1,0,0,8,0
739,0,0,0,3,0
740,3,1,2,6,0
741,8,8,0,8,0
742,2,1,1,5,0
743,8,7,1,8,0
744,3,0,2,6,0
745,4,3,1,8,0
746,7,4,3,8,0
747,8,7,1,8,0
748,1,0,1,3,0
749,9,8,0,12,0
750,7,7,0,8,0
751,7,2,5,8,1
752,0,0,0,3,0
753,8,8,0,8,0
754,8,7,1,9,0
755,3,0,3,4,1
756,0,0,0,4,0
757,6,2,4,11,0
758,3,0,1,5,0
759,0,0,0,5,0
760,5,0,5,5,1
761,3,1,1,7,0
762,8,1,6,8,1
763,5,3,2,6,0
764,8,8,0,8,0
765,8,8,0,8,0
766,8,8,0,8,0
767,4,4,0,4,0
768,3,0,3,7,0
769,0,0,0,4,0
770,1,0,0,4,0
771,1,0,0,3,0
772,0,0,0,4,0
773,0,0,0,4,0
774,2,1,1,3,0
775,7,7,0,8,0
776,7,7,0,7,0
777,2,1,0,5,0
778,1,1,0,5,0
779,6,5,1,7,0
780,0,0,0,5,0
781,1,0,0,5,0
782,2,1,0,6,0
783,8,7,1,8,0
784,5,3,1,5,0
785,5,0,5,5,1
786,1,0,1,2,0
787,10,9,1,11,0
788,2,0,1,6,0
789,5,2,3,5,1
790,6,4,2,8,0
791,2,2,0,7,0
792,8,1,6,8,1
793,8,2,5,8,1
794,5,1,3,8,0
795,11,8,3,11,0
796,8,3,5,9,1
797,10,8,2,10,0
798,0,0,0,0,0
799,5,4,1,6,0
800,1,1,0,6,0
801,8,8,0,8,0
802,0,0,0,4,0
803,5,1,4,6,1
804,1,0,1,5,0
805,0,0,0,4,0
806,7,7,0,8,0
807,8,2,5,8,1
808,10,10,0,11,0
809,3,2,1,3,0
810,4,3,1,7,0
811,1,0,1,5,0
812,3,0,2,6,0
813,8,6,2,9,0
814,3,3,0,7,0
815,1,0,1,5,0
816,8,8,0,8,0
817,7,6,1,8,0
818,0,0,0,3,0
819,6,5,1,6,0
820,4,2,2,5,0
821,0,0,0,3,0
822,7,3,2,8,0
823,3,2,1,4,0
824,6,2,3,9,0
825,1,1,0,4,0
826,6,3,3,6,0
827,6,2,3,9,0
828,7,3,3,9,0
829,2,0,2,3,1
830,5,1,3,6,0
831,6,3,3,8,0
832,7,4,2,8,0
833,6,2,3,9,0
834,3,1,2,4,0
835,1,0,1,3,0
836,5,1,3,9,0
837,7,6,0,8,0
838,8,5,3,8,0
839,2,1,1,4,0
840,7,3,4,7,1
841,0,0,0,4,0
842,8,4,3,9,0
843,1,1,0,3,0
844,2,0,2,3,1
845,1,1,0,6,0
846,1,0,0,6,0
847,2,0,1,6,0
848,0,0,0,2,0
849,8,7,1,8,0
850,2,1,0,5,0
851,1,1,0,3,0
852,1,1,0,3,0
853,7,7,0,9,0
854,6,4,2,9,0
855,7,2,4,9,0
856,2,0,1,6,0
857,2,1,0,6,0
858,7,1,5,7,1
859,8,6,2,12,0
860,7,7,0,8,0
861,8,7,1,8,0
862,7,7,0,8,0
863,1,0,1,5,0
864,8,7,1,9,0
865,8,4,4,9,0
866,0,0,0,0,0
867,6,2,4,6,1
868,0,0,0,4,0
869,4,1,1,10,0
870,5,0,3,10,0
871,1,1,0,5,0
872,4,1,3,7,0
873,1,0,1,5,0
874,1,0,1,2,0
875,7,4,2,8,0
876,4,4,0,6,0
877,6,0,5,8,1
878,4,0,2,5,0
879,4,1,2,6,0
880,2,0,2,3,1
881,7,5,1,8,0
882,4,2,1,6,0
883,0,0,0,3,0
884,1,0,1,3,0
885,8,7,0,8,0
886,5,1,3,5,1
887,0,0,0,3,0
888,0,0,0,3,0
889,4,3,1,8,0
890,0,0,0,3,0
891,7,7,0,8,0
892,8,6,2,8,0
893,3,3,0,6,0
894,7,3,4,7,1
895,5,5,0,7,0
896,7,5,2,8,0
897,4,3,1,7,0
898,4,1,3,5,1
899,7,4,3,7,0
900,5,4,1,6,0
901,5,2,3,5,1
902,3,0,3,3,1
903,2,0,1,5,0
904,6,5,1,7,0
905,6,4,2,8,0
906,3,1,2,6,0
907,4,1,3,11,0
908,9,6,2,9,0
909,7,7,0,7,0
910,4,3,1,7,0
911,2,1,1,6,0
912,1,1,0,4,0
913,5,0,3,5,1
914,4,2,1,6,0
915,1,0,0,2,0
916,1,0,0,2,0
917,0,0,0,4,0
918,2,1,1,5,0
919,0,0,0,5,0
920,0,0,0,3,0
921,4,2,1,7,0
922,2,1,1,7,0
923,3,1,2,7,0
924,2,0,2,3,1
925,8,6,2,8,0
926,7,4,3,8,0
927,2,0,2,5,0
928,9,6,3,10,0
929,4,2,1,9,0
930,4,1,1,6,0
931,2,1,1,4,0
932,9,5,4,10,0
933,8,6,1,8,0
934,7,7,0,9,0
935,5,0,1,5,0
936,1,0,0,5,0
937,6,3,3,6,0
938,2,0,2,3,1
939,7,6,1,9,0
940,6,3,3,9,0
941,3,2,1,3,0
942,4,1,3,6,0
943,0,0,0,3,0
944,3,0,3,4,1
945,0,0,0,2,0
946,0,0,0,3,0
947,3,1,2,4,0
948,2,1,1,5,0
949,6,6,0,7,0
950,0,0,0,3,0
951,4,0,3,5,1
952,8,8,0,9,0
953,5,2,3,8,0
954,5,0,5,10,0
955,0,0,0,3,0
956,0,0,0,4,0
957,8,7,1,8,0
958,4,1,3,6,0
959,11,10,1,12,0
960,7,6,1,8,0
961,1,0,0,4,0
962,7,1,5,7,1
963,6,4,1,6,0
964,6,1,3,6,0
965,0,0,0,4,0
966,4,3,1,6,0
967,2,2,0,6,0
968,7,2,3,9,0
969,6,3,2,7,0
970,8,4,3,11,0
971,7,1,6,9,1
972,7,2,5,7,1
973,4,0,3,5,1
974,9,3,4,10,0
975,7,3,4,8,0
976,1,0,1,5,0
977,5,0,5,5,1
978,5,1,2,6,0
979,5,1,4,5,1
980,4,0,4,4,1
981,8,5,3,8,0
982,8,8,0,8,0
983,2,1,0,6,0
984,6,3,3,6,0
985,1,0,1,5,0
986,7,5,2,7,0
987,3,0,3,3,1
988,8,7,1,8,0
989,10,7,3,10,0
990,9,6,2,9,0
991,9,8,0,9,0
992,8,4,3,9,0
993,7,4,3,9,0
994,8,8,0,9,0
995,10,6,4,10,0
996,1,0,1,5,0
997,5,0,3,5,1
998,7,5,2,7,0
999,7,6,1,7,0
1000,0,0,0,4,0
1001,4,2,2,7,0
1002,0,0,0,4,0
1003,4,2,2,7,0
1004,1,0,0,4,0
1005,4,3,1,5,0
1006,5,5,0,7,0
1007,1,0,1,4,0
1008,6,2,4,6,1
1009,5,1,4,5,1
1010,0,0,0,5,0
1011,7,5,2,8,0
1012,5,0,4,10,0
1013,1,0,0,4,0
1014,5,1,4,6,1
1015,4,2,1,8,0
1016,0,0,0,3,0
1017,6,4,2,7,0
1018,8,8,0,8,0
1019,7,4,2,9,0
1020,6,1,5,8,1
1021,5,2,3,9,0
1022,10,7,3,11,0
1023,6,5,1,7,0
1024,0,0,0,5,0
1025,7,4,3,7,0
1026,1,0,1,3,0
1027,2,2,0,5,0
1028,8,7,0,10,0
1029,7,4,2,7,0
1030,5,5,0,9,0
1031,8,5,2,8,0
1032,4,0,2,5,0
1033,8,8,0,9,0
1034,7,3,4,8,0
1035,4,3,1,7,0
1036,2,0,2,4,0
1037,6,3,2,10,0
1038,4,3,1,7,0
1039,8,8,0,8,0
1040,2,1,1,2,0
1041,7,5,2,7,0
1042,1,0,0,5,0
1043,9,9,0,12,0
1044,6,5,1,6,0
1045,5,0,5,5,1
1046,9,8,0,9,0
1047,8,8,0,9,0
1048,0,0,0,4,0
1049,1,1,0,5,0
1050,1,1,0,4,0
1051,7,3,4,7,1
1052,7,1,6,9,1
1053,7,7,0,7,0
1054,4,1,3,4,1
1055,8,8,0,8,0
1056,4,1,3,5,1
1057,8,7,0,8,0
1058,1,1,0,7,0
1059,7,3,4,9,0
1060,7,3,3,8,0
1061,4,4,0,5,0
1062,5,5,0,5,0
1063,3,1,2,4,0
1064,1,1,0,4,0
1065,1,0,0,4,0
1066,0,0,0,3,0
1067,0,0,0,3,0
1068,6,1,5,8,1
1069,0,0,0,3,0
1070,6,3,3,6,0
1071,1,0,1,3,0
1072,6,1,5,10,0
1073,8,2,5,8,1
1074,4,0,4,13,0
1075,3,3,0,8,0
1076,1,0,1,4,0
1077,9,6,2,9,0
1078,3,0,2,5,0
1079,2,1,1,7,0
1080,8,5,3,8,0
1081,8,8,0,8,0
1082,8,8,0,8,0
1083,6,5,1,7,0
1084,2,0,2,9,0
1085,0,0,0,4,0
1086,1,0,0,4,0
1087,8,6,2,8,0
1088,8,6,2,12,0
1089,6,4,2,6,0
1090,12,10,2,13,0
1091,5,3,1,11,0
1092,4,2,2,4,0
1093,1,0,0,5,0
1094,5,4,1,5,0
1095,2,0,2,3,1
1096,5,4,0,10,0
1097,0,0,0,4,0
1098,3,2,1,3,0
1099,1,0,0,5,0
1100,3,1,2,8,0
1101,2,2,0,5,0
1102,4,1,3,9,0
1103,2,1,1,7,0
1104,1,0,1,5,0
1105,7,7,0,8,0
1106,3,1,2,4,0
1107,0,0,0,3,0
1108,6,0,6,8,1
1109,2,0,2,3,1
1110,2,0,2,3,1
1111,0,0,0,2,0
1112,1,1,0,4,0
1113,3,1,2,8,0
1114,2,0,2,5,0
1115,5,4,1,6,0
1116,3,2,0,4,0
1117,10,6,4,11,0
1118,9,9,0,9,0
1119,8,6,2,8,0
1120,1,1,0,5,0
1121,8,7,1,8,0
1122,3,2,1,5,0
1123,3,1,2,6,0
1124,1,1,0,6,0
1125,7,4,3,9,0
1126,9,7,2,11,0
1127,3,1,2,5,0
1128,9,5,4,11,0
1129,1,1,0,6,0
1130,4,1,3,4,1
1131,9,6,3,10,0
1132,9,8,0,10,0
1133,5,2,2,10,0
1134,7,4,2,10,0
1135,4,2,2,5,0
1136,5,4,1,7,0
1137,0,0,0,3,0
1138,0,0,0,4,0
1139,0,0,0,2,0
