,c_noausentes_1er_anio,cursadas_ap_1er_anio,c_libres_1er_anio,cursadas_1er_anio,fracaso_academico,id_cluster
247,4,0,4,5,1,0
248,7,7,0,8,0,1
249,5,2,2,6,0,2
250,5,0,5,6,1,0
251,4,0,4,4,1,0
252,3,2,1,3,0,2
253,9,8,0,9,0,1
254,9,9,0,10,0,1
255,3,0,3,3,1,0
256,3,0,3,3,1,0
257,4,0,4,4,1,0
258,0,0,0,4,0,2
259,4,0,4,4,1,0
260,7,5,2,7,0,1
261,10,9,1,10,0,1
262,4,0,4,4,1,0
263,0,0,0,4,0,2
264,7,4,3,8,0,1
265,7,6,1,7,0,1
266,6,5,1,7,0,1
267,1,0,0,5,0,2
268,10,10,0,11,0,1
269,7,2,4,7,1,0
270,0,0,0,3,0,2
271,4,0,4,5,1,0
272,2,0,1,6,0,2
273,0,0,0,3,0,2
274,2,1,1,3,0,2
275,5,2,3,6,0,1
276,8,5,2,8,0,1
277,7,4,1,7,0,1
278,9,7,2,9,0,1
279,5,2,3,6,0,1
280,2,0,2,3,1,0
281,5,3,2,9,0,1
282,0,0,0,3,0,2
283,8,3,5,9,1,0
284,6,5,1,6,0,1
285,2,1,1,3,0,2
286,7,5,2,8,0,1
287,1,0,0,4,0,2
288,7,7,0,7,0,1
289,8,2,5,8,1,0
290,7,5,2,7,0,1
291,4,2,1,6,0,2
292,4,2,2,4,0,2
293,3,0,3,5,1,0
294,0,0,0,3,0,2
295,8,5,3,11,0,1
296,4,0,4,4,1,0
297,8,6,1,9,0,1
298,7,3,3,10,0,1
299,6,2,4,6,1,0
300,7,5,2,7,0,1
301,5,1,3,5,1,0
302,6,4,2,6,0,1
303,6,2,3,7,0,1
304,8,6,2,8,0,1
305,5,4,0,7,0,1
306,5,3,2,6,0,1
307,5,1,4,7,1,0
308,7,3,4,8,0,1
309,3,1,2,4,0,2
310,9,8,1,9,0,1
311,6,5,1,7,0,1
312,9,7,1,9,0,1
313,0,0,0,4,0,2
314,8,7,1,8,0,1
315,1,0,1,3,0,2
316,8,5,3,8,0,1
317,10,4,6,10,1,0
318,7,4,3,7,0,1
319,10,9,1,10,0,1
320,8,5,2,8,0,1
321,11,10,0,11,0,1
322,0,0,0,4,0,2
323,10,6,4,11,0,1
324,7,6,1,8,0,1
325,0,0,0,4,0,2
326,1,1,0,3,0,2
327,5,5,0,6,0,1
328,1,0,1,8,0,2
329,8,6,2,10,0,1
330,8,4,4,8,0,1
331,0,0,0,3,0,2
332,6,1,5,6,1,0
333,7,2,4,10,0,1
334,1,0,0,5,0,2
335,10,6,2,10,0,1
336,8,6,2,9,0,1
337,0,0,0,2,0,2
338,8,4,3,8,0,1
339,6,2,4,9,0,1
340,8,6,2,9,0,1
341,0,0,0,5,0,2
342,2,0,2,3,1,0
343,0,0,0,3,0,2
344,10,8,2,10,0,1
345,8,6,1,8,0,1
346,8,6,2,8,0,1
347,3,3,0,3,0,2
348,4,1,2,8,0,2
349,1,0,1,3,0,2
350,3,0,2,5,0,2
351,4,2,2,6,0,2
352,3,0,2,4,0,2
353,6,5,1,8,0,1
354,0,0,0,3,0,2
355,5,0,5,5,1,0
356,3,0,3,3,1,0
357,0,0,0,2,0,2
358,0,0,0,2,0,2
359,8,7,0,9,0,1
360,3,1,1,8,0,2
361,3,0,3,3,1,0
362,7,6,1,7,0,1
363,6,2,4,7,1,0
364,5,1,4,10,0,1
365,8,8,0,8,0,1
366,1,0,1,3,0,2
367,0,0,0,4,0,2
368,9,8,0,12,0,1
369,6,4,0,11,0,1
370,1,1,0,3,0,2
371,9,4,4,11,0,1
372,8,8,0,8,0,1
373,3,1,2,4,0,2
374,6,3,3,7,0,1
375,3,0,2,5,0,2
376,0,0,0,4,0,2
377,3,0,3,4,1,0
378,5,3,2,6,0,1
379,8,5,3,10,0,1
380,3,1,2,4,0,2
381,5,2,3,8,0,1
382,5,0,5,5,1,0
383,1,1,0,2,0,2
384,8,8,0,8,0,1
385,4,4,0,4,0,2
386,4,1,3,5,1,0
387,4,4,0,5,0,2
388,4,4,0,5,0,2
389,5,5,0,5,0,2
390,5,3,2,5,0,2
391,0,0,0,3,0,2
392,1,1,0,3,0,2
393,4,0,4,4,1,0
394,5,1,2,6,0,2
395,8,6,1,8,0,1
396,4,0,2,5,0,2
397,7,7,0,7,0,1
398,6,1,3,6,0,1
399,6,1,3,6,0,1
400,3,0,3,5,1,0
401,5,2,2,5,0,2
402,4,3,0,4,0,2
403,8,7,1,9,0,1
404,9,6,2,11,0,1
405,6,4,2,7,0,1
406,2,1,1,5,0,2
407,4,0,3,7,0,2
408,0,0,0,3,0,2
409,9,8,0,9,0,1
410,2,0,1,7,0,2
411,0,0,0,2,0,2
412,4,0,4,4,1,0
413,5,5,0,6,0,1
414,2,0,2,4,0,2
415,6,2,2,6,0,1
416,2,0,2,5,0,2
417,6,1,3,6,0,1
418,5,0,3,5,1,0
419,1,0,1,4,0,2
420,5,0,5,5,1,0
421,5,3,2,7,0,1
422,6,1,3,6,0,1
423,9,9,0,9,0,1
424,4,3,1,5,0,2
425,1,0,1,7,0,2
426,1,0,1,4,0,2
427,4,4,0,7,0,2
428,0,0,0,4,0,2
429,1,0,0,5,0,2
430,4,4,0,5,0,2
431,2,0,2,3,1,0
432,5,2,3,8,0,1
433,6,4,2,6,0,1
434,0,0,0,3,0,2
435,2,2,0,2,0,2
436,1,1,0,5,0,2
437,3,2,1,6,0,2
438,0,0,0,3,0,2
439,7,6,0,8,0,1
440,8,8,0,9,0,1
441,2,0,2,3,1,0
442,8,5,3,8,0,1
443,0,0,0,3,0,2
444,6,4,2,6,0,1
445,2,0,2,4,0,2
446,2,1,1,4,0,2
447,8,8,0,8,0,1
448,8,3,4,8,0,1
449,5,0,3,5,1,0
450,0,0,0,3,0,2
451,3,0,3,3,1,0
452,4,0,4,9,0,1
453,6,2,4,6,1,0
454,5,3,1,8,0,1
455,3,2,1,6,0,2
456,0,0,0,3,0,2
457,1,0,1,3,0,2
458,5,3,2,6,0,1
459,3,0,3,3,1,0
460,6,6,0,8,0,1
461,5,3,2,9,0,1
462,0,0,0,2,0,2
463,6,6,0,9,0,1
464,8,8,0,9,0,1
465,3,0,3,3,1,0
466,2,0,2,4,0,2
467,2,2,0,2,0,2
468,4,0,4,4,1,0
469,5,3,2,8,0,1
470,7,7,0,9,0,1
471,0,0,0,3,0,2
472,0,0,0,4,0,2
473,4,4,0,8,0,1
474,0,0,0,3,0,2
475,3,1,1,7,0,2
476,4,2,2,7,0,2
477,0,0,0,5,0,2
478,1,0,1,3,0,2
479,0,0,0,2,0,2
480,4,1,3,6,0,2
481,3,1,2,4,0,2
482,6,6,0,6,0,1
483,1,0,1,3,0,2
484,4,0,3,6,0,2
485,4,0,3,5,1,0
486,9,5,4,10,0,1
487,2,0,1,5,0,2
488,4,4,0,4,0,2
489,4,2,2,5,0,2
490,11,8,3,11,0,1
491,6,6,0,8,0,1
492,2,1,1,5,0,2
493,5,5,0,5,0,2
494,3,1,2,5,0,2
495,6,1,5,8,1,0
496,4,2,2,4,0,2
497,1,1,0,4,0,2
498,9,8,1,9,0,1
499,8,8,0,9,0,1
500,5,1,2,6,0,2
501,9,7,1,9,0,1
502,1,0,1,4,0,2
503,4,4,0,4,0,2
504,7,6,1,7,0,1
505,5,1,4,8,0,1
506,8,8,0,8,0,1
507,1,0,1,3,0,2
508,8,8,0,8,0,1
509,8,4,3,10,0,1
510,8,8,0,8,0,1
511,10,8,1,11,0,1
512,6,3,3,9,0,1
513,9,9,0,10,0,1
514,8,8,0,9,0,1
515,1,1,0,5,0,2
516,1,1,0,5,0,2
517,5,0,4,7,1,0
518,8,8,0,8,0,1
519,4,2,2,7,0,2
520,8,8,0,9,0,1
521,8,8,0,8,0,1
522,8,8,0,8,0,1
523,3,3,0,7,0,2
524,9,7,1,9,0,1
525,8,7,1,9,0,1
526,9,7,2,9,0,1
527,3,3,0,7,0,2
528,7,6,1,9,0,1
529,6,5,1,8,0,1
530,0,0,0,3,0,2
531,8,6,1,8,0,1
532,1,1,0,4,0,2
533,3,3,0,7,0,2
534,7,6,1,8,0,1
535,0,0,0,4,0,2
536,4,2,1,4,0,2
537,7,3,4,8,0,1
538,8,8,0,8,0,1
539,0,0,0,1,0,2
540,4,2,2,4,0,2
541,8,6,2,8,0,1
542,9,8,1,9,0,1
543,9,7,2,9,0,1
544,8,8,0,8,0,1
545,4,2,2,4,0,2
546,1,0,1,2,0,2
547,2,0,2,3,1,0
548,4,4,0,5,0,2
549,3,2,1,4,0,2
550,7,4,3,7,0,1
551,8,6,2,9,0,1
552,0,0,0,3,0,2
553,7,7,0,9,0,1
554,5,3,2,5,0,2
555,9,6,3,10,0,1
556,9,6,3,10,0,1
557,4,2,1,4,0,2
558,3,1,2,3,1,0
559,1,1,0,3,0,2
560,1,1,0,2,0,2
561,6,4,2,7,0,1
562,4,2,2,6,0,2
563,8,4,3,8,0,1
564,7,4,3,9,0,1
565,3,1,2,7,0,2
566,3,3,0,5,0,2
567,5,4,1,6,0,1
568,11,8,3,11,0,1
569,11,9,2,11,0,1
570,3,0,3,8,0,2
571,11,9,2,11,0,1
572,3,1,2,4,0,2
573,8,2,4,8,0,1
574,9,8,1,9,0,1
575,8,8,0,8,0,1
576,9,6,3,9,0,1
577,9,6,3,9,0,1
578,5,0,4,7,1,0
579,5,2,3,7,0,1
580,8,6,2,8,0,1
581,6,6,0,7,0,1
582,7,2,5,7,1,0
583,1,0,1,4,0,2
584,8,8,0,8,0,1
585,7,7,0,9,0,1
586,2,0,2,3,1,0
587,8,8,0,8,0,1
588,8,5,3,8,0,1
589,11,10,1,11,0,1
590,0,0,0,4,0,2
591,9,8,1,9,0,1
592,9,8,1,9,0,1
593,3,2,0,9,0,2
594,9,7,2,9,0,1
595,8,8,0,8,0,1
596,8,6,2,8,0,1
597,8,4,4,11,0,1
598,4,1,3,7,0,2
599,5,2,3,5,1,0
600,10,10,0,10,0,1
601,2,1,1,4,0,2
602,3,1,2,6,0,2
603,2,0,2,4,0,2
604,3,3,0,3,0,2
605,6,0,5,8,1,0
606,6,6,0,7,0,1
607,8,7,1,8,0,1
608,3,3,0,7,0,2
609,1,0,1,3,0,2
610,7,5,2,7,0,1
611,6,3,2,9,0,1
612,8,8,0,8,0,1
613,11,11,0,12,0,1
614,10,6,4,10,0,1
615,0,0,0,3,0,2
616,1,1,0,5,0,2
617,10,8,2,10,0,1
618,5,2,3,8,0,1
619,4,0,4,4,1,0
620,8,8,0,8,0,1
621,8,8,0,9,0,1
622,4,2,2,6,0,2
623,6,3,3,7,0,1
624,6,2,4,8,0,1
625,9,7,2,10,0,1
626,2,1,1,5,0,2
627,8,3,5,10,0,1
628,8,3,4,10,0,1
629,7,4,3,7,0,1
630,3,0,3,5,1,0
631,4,1,3,4,1,0
632,0,0,0,4,0,2
633,0,0,0,3,0,2
634,0,0,0,3,0,2
635,8,7,1,8,0,1
636,4,1,3,4,1,0
637,8,8,0,8,0,1
638,8,7,0,8,0,1
639,9,4,3,9,0,1
640,7,7,0,7,0,1
641,6,3,3,7,0,1
642,0,0,0,4,0,2
643,9,9,0,9,0,1
644,9,4,5,9,1,0
645,3,3,0,5,0,2
646,0,0,0,4,0,2
647,3,3,0,6,0,2
648,3,2,1,6,0,2
649,0,0,0,4,0,2
650,2,1,1,13,0,1
651,1,1,0,5,0,2
652,8,8,0,8,0,1
653,8,5,2,9,0,1
654,4,1,3,6,0,2
655,9,5,4,9,0,1
656,2,2,0,2,0,2
657,8,7,1,8,0,1
658,7,4,3,7,0,1
659,3,0,3,4,1,0
660,8,8,0,9,0,1
661,8,8,0,8,0,1
662,4,1,3,8,0,1
663,3,1,2,4,0,2
664,10,5,5,10,0,1
665,2,2,0,6,0,2
666,4,0,2,4,0,2
667,6,2,4,8,0,1
668,0,0,0,4,0,2
669,2,2,0,2,0,2
670,7,6,1,8,0,1
671,0,0,0,4,0,2
672,3,1,1,7,0,2
673,3,0,1,5,0,2
674,7,3,4,8,0,1
675,2,0,2,8,0,2
676,8,7,0,8,0,1
677,4,0,3,5,1,0
678,6,3,3,7,0,1
679,10,10,0,10,0,1
680,5,5,0,5,0,2
681,3,0,3,5,1,0
682,5,2,2,6,0,2
683,8,5,3,8,0,1
684,6,4,2,7,0,1
685,2,2,0,3,0,2
686,6,4,2,7,0,1
687,2,1,1,5,0,2
688,4,3,1,9,0,1
689,7,4,3,9,0,1
690,1,0,0,5,0,2
691,8,5,3,9,0,1
692,8,7,1,9,0,1
693,0,0,0,3,0,2
694,6,2,4,7,1,0
695,4,0,4,4,1,0
696,6,0,5,10,0,1
697,5,4,1,6,0,1
698,7,2,3,9,0,1
699,3,0,3,4,1,0
700,7,6,1,7,0,1
701,3,2,1,4,0,2
702,4,0,4,7,1,0
703,8,6,2,9,0,1
704,11,10,1,11,0,1
705,7,3,4,8,0,1
706,10,7,3,10,0,1
707,4,2,2,4,0,2
708,8,6,1,9,0,1
709,8,6,2,9,0,1
710,8,5,2,9,0,1
711,10,10,0,10,0,1
712,9,9,0,9,0,1
713,8,7,1,8,0,1
714,2,0,2,5,0,2
715,5,1,4,8,0,1
716,4,1,3,5,1,0
717,5,2,2,9,0,1
718,4,3,1,5,0,2
719,2,0,1,6,0,2
720,8,7,1,8,0,1
721,5,0,4,5,1,0
722,9,8,0,9,0,1
723,8,8,0,8,0,1
724,3,2,1,6,0,2
725,4,0,3,4,1,0
726,6,4,2,9,0,1
727,3,0,2,4,0,2
728,10,4,4,10,0,1
729,2,1,1,6,0,2
730,11,11,0,11,0,1
731,11,11,0,11,0,1
732,11,10,1,12,0,1
733,9,9,0,11,0,1
734,9,9,0,9,0,1
735,7,1,6,7,1,0
736,2,1,0,6,0,2
737,7,7,0,9,0,1
738,1,0,0,8,0,2
739,0,0,0,3,0,2
740,3,1,2,6,0,2
741,8,8,0,8,0,1
742,2,1,1,5,0,2
743,8,7,1,8,0,1
744,3,0,2,6,0,2
745,4,3,1,8,0,1
746,7,4,3,8,0,1
747,8,7,1,8,0,1
748,1,0,1,3,0,2
749,9,8,0,12,0,1
750,7,7,0,8,0,1
751,7,2,5,8,1,0
752,0,0,0,3,0,2
753,8,8,0,8,0,1
754,8,7,1,9,0,1
755,3,0,3,4,1,0
756,0,0,0,4,0,2
757,6,2,4,11,0,1
758,3,0,1,5,0,2
759,0,0,0,5,0,2
760,5,0,5,5,1,0
761,3,1,1,7,0,2
762,8,1,6,8,1,0
763,5,3,2,6,0,1
764,8,8,0,8,0,1
765,8,8,0,8,0,1
766,8,8,0,8,0,1
767,4,4,0,4,0,2
768,3,0,3,7,0,2
769,0,0,0,4,0,2
770,1,0,0,4,0,2
771,1,0,0,3,0,2
772,0,0,0,4,0,2
773,0,0,0,4,0,2
774,2,1,1,3,0,2
775,7,7,0,8,0,1
776,7,7,0,7,0,1
777,2,1,0,5,0,2
778,1,1,0,5,0,2
779,6,5,1,7,0,1
780,0,0,0,5,0,2
781,1,0,0,5,0,2
782,2,1,0,6,0,2
783,8,7,1,8,0,1
784,5,3,1,5,0,2
785,5,0,5,5,1,0
786,1,0,1,2,0,2
787,10,9,1,11,0,1
788,2,0,1,6,0,2
789,5,2,3,5,1,0
790,6,4,2,8,0,1
791,2,2,0,7,0,2
792,8,1,6,8,1,0
793,8,2,5,8,1,0
794,5,1,3,8,0,1
795,11,8,3,11,0,1
796,8,3,5,9,1,0
797,10,8,2,10,0,1
798,0,0,0,0,0,2
799,5,4,1,6,0,1
800,1,1,0,6,0,2
801,8,8,0,8,0,1
802,0,0,0,4,0,2
803,5,1,4,6,1,0
804,1,0,1,5,0,2
805,0,0,0,4,0,2
806,7,7,0,8,0,1
807,8,2,5,8,1,0
808,10,10,0,11,0,1
809,3,2,1,3,0,2
810,4,3,1,7,0,2
811,1,0,1,5,0,2
812,3,0,2,6,0,2
813,8,6,2,9,0,1
814,3,3,0,7,0,2
815,1,0,1,5,0,2
816,8,8,0,8,0,1
817,7,6,1,8,0,1
818,0,0,0,3,0,2
819,6,5,1,6,0,1
820,4,2,2,5,0,2
821,0,0,0,3,0,2
822,7,3,2,8,0,1
823,3,2,1,4,0,2
824,6,2,3,9,0,1
825,1,1,0,4,0,2
826,6,3,3,6,0,1
827,6,2,3,9,0,1
828,7,3,3,9,0,1
829,2,0,2,3,1,0
830,5,1,3,6,0,2
831,6,3,3,8,0,1
832,7,4,2,8,0,1
833,6,2,3,9,0,1
834,3,1,2,4,0,2
835,1,0,1,3,0,2
836,5,1,3,9,0,1
837,7,6,0,8,0,1
838,8,5,3,8,0,1
839,2,1,1,4,0,2
840,7,3,4,7,1,0
841,0,0,0,4,0,2
842,8,4,3,9,0,1
843,1,1,0,3,0,2
844,2,0,2,3,1,0
845,1,1,0,6,0,2
846,1,0,0,6,0,2
847,2,0,1,6,0,2
848,0,0,0,2,0,2
849,8,7,1,8,0,1
850,2,1,0,5,0,2
851,1,1,0,3,0,2
852,1,1,0,3,0,2
853,7,7,0,9,0,1
854,6,4,2,9,0,1
855,7,2,4,9,0,1
856,2,0,1,6,0,2
857,2,1,0,6,0,2
858,7,1,5,7,1,0
859,8,6,2,12,0,1
860,7,7,0,8,0,1
861,8,7,1,8,0,1
862,7,7,0,8,0,1
863,1,0,1,5,0,2
864,8,7,1,9,0,1
865,8,4,4,9,0,1
866,0,0,0,0,0,2
867,6,2,4,6,1,0
868,0,0,0,4,0,2
869,4,1,1,10,0,1
870,5,0,3,10,0,1
871,1,1,0,5,0,2
872,4,1,3,7,0,2
873,1,0,1,5,0,2
874,1,0,1,2,0,2
875,7,4,2,8,0,1
876,4,4,0,6,0,2
877,6,0,5,8,1,0
878,4,0,2,5,0,2
879,4,1,2,6,0,2
880,2,0,2,3,1,0
881,7,5,1,8,0,1
882,4,2,1,6,0,2
883,0,0,0,3,0,2
884,1,0,1,3,0,2
885,8,7,0,8,0,1
886,5,1,3,5,1,0
887,0,0,0,3,0,2
888,0,0,0,3,0,2
889,4,3,1,8,0,1
890,0,0,0,3,0,2
891,7,7,0,8,0,1
892,8,6,2,8,0,1
893,3,3,0,6,0,2
894,7,3,4,7,1,0
895,5,5,0,7,0,1
896,7,5,2,8,0,1
897,4,3,1,7,0,2
898,4,1,3,5,1,0
899,7,4,3,7,0,1
900,5,4,1,6,0,1
901,5,2,3,5,1,0
902,3,0,3,3,1,0
903,2,0,1,5,0,2
904,6,5,1,7,0,1
905,6,4,2,8,0,1
906,3,1,2,6,0,2
907,4,1,3,11,0,1
908,9,6,2,9,0,1
909,7,7,0,7,0,1
910,4,3,1,7,0,2
911,2,1,1,6,0,2
912,1,1,0,4,0,2
913,5,0,3,5,1,0
914,4,2,1,6,0,2
915,1,0,0,2,0,2
916,1,0,0,2,0,2
917,0,0,0,4,0,2
918,2,1,1,5,0,2
919,0,0,0,5,0,2
920,0,0,0,3,0,2
921,4,2,1,7,0,2
922,2,1,1,7,0,2
923,3,1,2,7,0,2
924,2,0,2,3,1,0
925,8,6,2,8,0,1
926,7,4,3,8,0,1
927,2,0,2,5,0,2
928,9,6,3,10,0,1
929,4,2,1,9,0,1
930,4,1,1,6,0,2
931,2,1,1,4,0,2
932,9,5,4,10,0,1
933,8,6,1,8,0,1
934,7,7,0,9,0,1
935,5,0,1,5,0,2
936,1,0,0,5,0,2
937,6,3,3,6,0,1
938,2,0,2,3,1,0
939,7,6,1,9,0,1
940,6,3,3,9,0,1
941,3,2,1,3,0,2
942,4,1,3,6,0,2
